date,hour,ridership
2020-07-23,5,48690
2020-07-23,6,82703
2020-07-23,7,96412
2020-07-23,8,91054
2020-07-23,9,64008
2020-07-23,10,52409
2020-07-23,11,48188
2020-07-23,12,52857
2020-07-23,13,61619
2020-07-23,14,75442
2020-07-23,15,98822
2020-07-23,16,110333
2020-07-23,17,105500
2020-07-23,18,76415
2020-07-23,19,52077
2020-07-23,20,35095
2020-07-23,21,26857
2020-07-23,22,24146
2020-07-23,23,19926
2020-07-24,0,6840
2020-07-24,1,45
2020-07-24,2,13
2020-07-24,3,8
2020-07-24,4,6365
2020-07-24,5,45498
2020-07-24,6,78585
2020-07-24,7,90844
2020-07-24,8,85077
2020-07-24,9,61633
2020-07-24,10,50236
2020-07-24,11,48082
2020-07-24,12,54126
2020-07-24,13,64651
2020-07-24,14,79369
2020-07-24,15,100732
2020-07-24,16,105034
2020-07-24,17,95736
2020-07-24,18,71628
2020-07-24,19,53210
2020-07-24,20,39911
2020-07-24,21,29621
2020-07-24,22,26106
2020-07-24,23,23096
2020-07-25,0,9619
2020-07-25,1,28
2020-07-25,2,22
2020-07-25,3,19
2020-07-25,4,2581
2020-07-25,5,15937
2020-07-25,6,29354
2020-07-25,7,37215
2020-07-25,8,40165
2020-07-25,9,40011
2020-07-25,10,41539
2020-07-25,11,43809
2020-07-25,12,48583
2020-07-25,13,54650
2020-07-25,14,60409
2020-07-25,15,62478
2020-07-25,16,59127
2020-07-25,17,54134
2020-07-25,18,50480
2020-07-25,19,44386
2020-07-25,20,36450
2020-07-25,21,29458
2020-07-25,22,25533
2020-07-25,23,21472
2020-07-26,0,9491
2020-07-26,1,2
2020-07-26,2,1
2020-07-26,3,4
2020-07-26,4,1767
2020-07-26,5,10331
2020-07-26,6,19003
2020-07-26,7,24327
2020-07-26,8,26646
2020-07-26,9,28654
2020-07-26,10,31832
2020-07-26,11,32980
2020-07-26,12,36813
2020-07-26,13,40835
2020-07-26,14,44823
2020-07-26,15,45446
2020-07-26,16,43801
2020-07-26,17,40436
2020-07-26,18,38822
2020-07-26,19,33878
2020-07-26,20,28845
2020-07-26,21,25122
2020-07-26,22,21541
2020-07-26,23,15756
2020-07-27,0,5842
2020-07-27,1,18
2020-07-27,2,11
2020-07-27,3,10
2020-07-27,4,6482
2020-07-27,5,46590
2020-07-27,6,80049
2020-07-27,7,94395
2020-07-27,8,89795
2020-07-27,9,62549
2020-07-27,10,51219
2020-07-27,11,48746
2020-07-27,12,53113
2020-07-27,13,61062
2020-07-27,14,72780
2020-07-27,15,95408
2020-07-27,16,105910
2020-07-27,17,102414
2020-07-27,18,72141
2020-07-27,19,49293
2020-07-27,20,36263
2020-07-27,21,27415
2020-07-27,22,23238
2020-07-27,23,18027
2020-07-28,0,5997
2020-07-28,1,21
2020-07-28,2,10
2020-07-28,3,8
2020-07-28,4,6681
2020-07-28,5,48684
2020-07-28,6,82722
2020-07-28,7,99022
2020-07-28,8,91903
2020-07-28,9,64658
2020-07-28,10,52849
2020-07-28,11,49624
2020-07-28,12,54691
2020-07-28,13,63007
2020-07-28,14,75664
