date,ridership
2023-03-27,3436349
2023-03-28,3809585
2023-03-29,3894407
2023-03-30,3884103
2023-03-31,3594746
2023-04-01,2285336
2023-04-02,1949397
2023-04-03,3618658
2023-04-04,3928950
2023-04-05,3822240
2023-04-06,3444625
2023-04-07,3151137
2023-04-08,2392459
2023-04-09,1855199
2023-04-10,3163553
2023-04-11,3558945
2023-04-12,3598070
2023-04-13,3650335
2023-04-14,3490280
2023-04-15,2365398
2023-04-16,1865683
2023-04-17,3439742
2023-04-18,3884068
2023-04-19,3949913
2023-04-20,4023740
2023-04-21,3511666
2023-04-22,2504480
2023-04-23,1922367
2023-04-24,3582675
2023-04-25,3978139
2023-04-26,4015990
2023-04-27,4021211
2023-04-28,3722906
2023-04-29,2180842
2023-04-30,1745785
2023-05-01,3686271
2023-05-02,3985402
2023-05-03,4054072
2023-05-04,4007833
2023-05-05,3780598
2023-05-06,2560137
2023-05-07,2033314
2023-05-08,3586107
2023-05-09,3949219
2023-05-10,4037564
2023-05-11,4039562
2023-05-12,3744934
2023-05-13,2485796
2023-05-14,1926324
2023-05-15,3574665
2023-05-16,4024420
2023-05-17,4129325
2023-05-18,4103962
2023-05-19,3810480
2023-05-20,2313338
2023-05-21,2130736
2023-05-22,3593448
2023-05-23,3952007
2023-05-24,3983758
2023-05-25,3884846
2023-05-26,3518884
2023-05-27,2374713
2023-05-28,2027675
2023-05-29,1965445
2023-05-30,3738109
2023-05-31,3935477
2023-06-01,3917972
2023-06-02,3648875
2023-06-03,2411437
2023-06-04,1988339
2023-06-05,3566673
2023-06-06,3954945
2023-06-07,3768910
2023-06-08,3294834
2023-06-09,3448883
2023-06-10,2607163
2023-06-11,2076219
2023-06-12,3501743
2023-06-13,3991783
2023-06-14,3917750
2023-06-15,3953138
2023-06-16,3432671
2023-06-17,2502439
2023-06-18,1977919
2023-06-19,2653735
2023-06-20,3807902
2023-06-21,3928141
2023-06-22,3812487
2023-06-23,3494715
2023-06-24,2468343
2023-06-25,2223190
2023-06-26,3366227
2023-06-27,3770757
2023-06-28,3663810
2023-06-29,3681456
2023-06-30,3287339
2023-07-01,2244134
2023-07-02,1791278
2023-07-03,2688388
2023-07-04,1812388
2023-07-05,3347735
2023-07-06,3524390
2023-07-07,3319357
2023-07-08,2311667
2023-07-09,1780860
2023-07-10,3244624
2023-07-11,3674673
2023-07-12,3724973
2023-07-13,3676190
2023-07-14,3277391
2023-07-15,2328584
2023-07-16,1606818
2023-07-17,3310574
2023-07-18,3614195
2023-07-19,3708997
2023-07-20,3739611
2023-07-21,3360951
2023-07-22,2462219
2023-07-23,1987514
2023-07-24,3281501
2023-07-25,3659451
2023-07-26,3786879
2023-07-27,3607122
2023-07-28,3291877
2023-07-29,2253883
2023-07-30,1955738
2023-07-31,3233511
2023-08-01,3628556
2023-08-02,3671188
2023-08-03,3638148
2023-08-04,3255278
2023-08-05,2366979
2023-08-06,1914728
2023-08-07,3068520
2023-08-08,3539955
2023-08-09,3643057
2023-08-10,3458382
2023-08-11,3338816
2023-08-12,2369119
2023-08-13,1957367
2023-08-14,3120056
2023-08-15,3415434
2023-08-16,3477798
2023-08-17,3415331
2023-08-18,3209904
2023-08-19,2361938
2023-08-20,1874859
2023-08-21,2998089
2023-08-22,3382719
2023-08-23,3442910
2023-08-24,3327037
2023-08-25,3061203
2023-08-26,2284577
2023-08-27,1912744
2023-08-28,3149199
2023-08-29,3430972
2023-08-30,3492148
2023-08-31,3480677
2023-09-01,3223593
2023-09-02,2310356
2023-09-03,2014871
2023-09-04,1898191
2023-09-05,3513163
2023-09-06,3739572
2023-09-07,3893853
2023-09-08,3633460
2023-09-09,2427477
2023-09-10,1839509
2023-09-11,3620675
